student_id,name,age,course,grade
2000,Student_0,23,Physics,C
2001,Student_1,21,Math,A
2002,Student_2,18,CS,D
2003,Student_3,21,Physics,D
2004,Student_4,25,Math,B
2005,Student_5,21,Math,D
2006,Student_6,25,History,B
2007,Student_7,25,CS,B
2008,Student_8,20,CS,A
2009,Student_9,21,Physics,C
2010,Student_10,20,CS,A
2011,Student_11,22,History,B
2012,Student_12,22,Math,D
2013,Student_13,24,CS,C
2014,Student_14,21,Physics,B
2015,Student_15,18,History,D
2016,Student_16,22,History,A
2017,Student_17,18,Math,D
2018,Student_18,24,CS,D
2019,Student_19,21,Math,B
2020,Student_20,23,History,A
2021,Student_21,25,CS,C
2022,Student_22,22,History,B
2023,Student_23,18,Physics,B
2024,Student_24,18,Physics,A
2025,Student_25,21,History,D
2026,Student_26,22,Physics,A
2027,Student_27,19,Physics,B
2028,Student_28,18,CS,D
2029,Student_29,18,History,B
